record_no,iso_code,country,population,year,co2,co2_per_capita,co2_per_gdp,co2_growth_prct,consumption_co2,consumption_co2_per_capita,share_global_co2
179,BWA,Botswana,2040000.0,2012,5.077,2.489,0.187,26.011,5.92,2.902,0.015
180,BRA,Brazil,190130000.0,2007,356.9190000000001,1.877,0.181,4.379,370.041,1.946,1.141
181,BRA,Brazil,192030000.0,2008,380.345,1.981,0.172,6.563,416.026,2.166,1.1909999999999998
182,BRA,Brazil,193887008.0,2009,360.091,1.857,0.157,-5.325,381.483,1.968,1.144
183,BRA,Brazil,195714000.0,2010,411.24,2.101,0.155,14.205,459.482,2.3480000000000003,1.241
184,BRA,Brazil,197515008.0,2011,429.959,2.177,0.145,4.552,484.845,2.455,1.257
185,BRA,Brazil,199287008.0,2012,460.098,2.309,0.155,7.01,509.744,2.5580000000000003,1.324
186,VGB,British Virgin Islands,25000.0,2007,0.187,7.475,,2.0,,,0.001
187,VGB,British Virgin Islands,26000.0,2008,0.191,7.3279999999999985,,1.961,,,0.001
188,VGB,British Virgin Islands,27000.0,2009,0.191,7.057,,,,,0.001
189,VGB,British Virgin Islands,28000.0,2010,0.198,7.066,,3.846,,,0.001
190,VGB,British Virgin Islands,28000.0,2011,0.202,7.197,,1.852,,,0.001
191,VGB,British Virgin Islands,29000.0,2012,0.202,6.949,,,,,0.001
192,BRN,Brunei,375000.0,2007,8.31,22.16,,75.406,6.791,18.108,0.027000000000000003
193,BRN,Brunei,379000.0,2008,8.991,23.724,,8.201,6.947,18.33,0.028
194,BRN,Brunei,384000.0,2009,7.746,20.171,,-13.854,6.421,16.722,0.025
195,BRN,Brunei,389000.0,2010,8.061,20.722,,4.0680000000000005,6.5,16.71,0.024
196,BRN,Brunei,394000.0,2011,9.545,24.225,,18.409,7.6960000000000015,19.534,0.028
197,BRN,Brunei,399000.0,2012,9.493,23.793000000000006,,-0.537,8.309,20.825,0.027000000000000003
198,BGR,Bulgaria,7577000.0,2007,55.74100000000001,7.357,0.541,7.41,52.326,6.9060000000000015,0.17800000000000002
199,BGR,Bulgaria,7524000.0,2008,54.08,7.188,0.4920000000000001,-2.98,53.25,7.077000000000001,0.16899999999999998
200,BGR,Bulgaria,7474000.0,2009,45.774,6.124,0.416,-15.358,44.023,5.89,0.145
201,BGR,Bulgaria,7425000.0,2010,47.863,6.4460000000000015,0.431,4.564,42.848,5.771,0.14400000000000002
202,BGR,Bulgaria,7379000.0,2011,53.178,7.207000000000002,0.479,11.105,45.573,6.176,0.155
203,BGR,Bulgaria,7334000.0,2012,48.349,6.5920000000000005,0.42,-9.081,43.613,5.947,0.139
204,BFA,Burkina Faso,14252000.0,2007,1.591,0.112,0.083,17.279,2.201,0.154,0.005
205,BFA,Burkina Faso,14690000.0,2008,1.735,0.118,0.08800000000000001,9.051,2.455,0.16699999999999998,0.005
206,BFA,Burkina Faso,15141000.0,2009,1.83,0.121,0.092,5.515,2.779,0.184,0.006
207,BFA,Burkina Faso,15605000.0,2010,2.037,0.131,0.094,11.291,2.845,0.182,0.006
208,BFA,Burkina Faso,16082000.0,2011,2.13,0.132,0.095,4.586,2.72,0.16899999999999998,0.006
209,BFA,Burkina Faso,16571000.0,2012,2.62,0.158,0.102,22.989,2.9930000000000003,0.181,0.008
210,BDI,Burundi,7862000.0,2007,0.202,0.026,0.028,10.0,,,0.001
211,BDI,Burundi,8126000.0,2008,0.209,0.026,0.029,3.636,,,0.001
212,BDI,Burundi,8398000.0,2009,0.16899999999999998,0.02,0.025,-19.298,,,0.001
