record_no,iso_code,geo_reg,year,population,gdp,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita
307,AZE,Azerbaijan,2007,8724000,80977575936.0,30.458,-22.119,-8.65,31.193,0.735,2.412,3.491,3.576,0.097,2168.319,0.376,0.385,0.8170000000000001,0.022,0.586,17.578,11.456,0.0,0.094,0.003,0.067,2.015,1.3130000000000002
308,AZE,Azerbaijan,2008,8822000,89389998080.0,35.451,16.39,4.992,35.109,-0.341,-0.963,4.018,3.98,0.111,2203.77,0.397,0.393,0.7709999999999999,0.015,3.32,20.738000000000003,10.607,0.0,0.087,0.002,0.376,2.351,1.202
309,AZE,Azerbaijan,2009,8924000,95528968192.0,31.857,-10.138,-3.594,31.492,-0.365,-1.146,3.57,3.529,0.101,2235.626,0.333,0.33,0.621,0.015,3.1910000000000003,18.789,9.241,0.0,0.07,0.002,0.358,2.105,1.035
310,AZE,Azerbaijan,2010,9032000,115000000000.0,30.633000000000006,-3.841,-1.224,30.105,-0.528,-1.724,3.392,3.333,0.092,2266.259,0.266,0.262,0.617,0.022,3.3310000000000004,17.968,8.695,0.0,0.068,0.002,0.369,1.989,0.963
311,AZE,Azerbaijan,2011,9146000,146000000000.0,32.976,7.648,2.343,32.525,-0.451,-1.368,3.605,3.556,0.096,2299.235,0.226,0.223,0.465,0.018000000000000002,3.2030000000000003,19.026,10.264,0.0,0.051,0.002,0.35,2.08,1.122
312,AZE,Azerbaijan,2012,9265000,150000000000.0,35.048,6.285,2.073,35.61400000000001,0.565,1.6130000000000002,3.783,3.844,0.101,2334.283,0.234,0.237,0.6579999999999999,0.015,2.902,19.833,11.640999999999998,0.0,0.071,0.002,0.313,2.141,1.256
327,BHS,Bahamas,2007,337000,0.0,1.795,1.031,0.018000000000000002,0.0,0.0,0.0,5.327000000000001,0.0,0.006,138.841,0.0,0.0,0.0,0.004,0.0,0.0,1.7919999999999998,0.0,0.0,0.011,0.0,0.0,5.317
328,BHS,Bahamas,2008,344000,0.0,2.36,31.429,0.564,0.0,0.0,0.0,6.859,0.0,0.006999999999999999,141.2,0.0,0.0,0.0,0.004,0.0,0.0,2.356,0.0,0.0,0.011,0.0,0.0,6.849
329,BHS,Bahamas,2009,350000,0.0,1.608,-31.832,-0.7509999999999999,0.0,0.0,0.0,4.596,0.0,0.005,142.809,0.0,0.0,0.0,0.004,0.0,0.0,1.605,0.0,0.0,0.01,0.0,0.0,4.585
330,BHS,Bahamas,2010,355000,0.0,2.389,48.519,0.78,0.0,0.0,0.0,6.729,0.0,0.006999999999999999,145.19799999999995,0.0,0.0,0.0,0.004,0.0,0.0,2.385,0.0,0.0,0.01,0.0,0.0,6.7189999999999985
